GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
oz_lotto,1296,"Tuesday 18 Dec 2018","16 15 27 4 13 45 29 ","43 26 "
oz_lotto,1295,"Tuesday 11 Dec 2018","42 33 38 8 18 37 7 ","32 20 "
oz_lotto,1294,"Tuesday 04 Dec 2018","21 18 32 35 27 19 20 ","17 44 "
oz_lotto,1293,"Tuesday 27 Nov 2018","4 18 30 13 38 7 25 ","3 5 "
oz_lotto,1292,"Tuesday 20 Nov 2018","39 28 24 13 2 22 19 ","5 1 "
oz_lotto,1291,"Tuesday 13 Nov 2018","19 11 9 45 28 42 16 ","6 35 "
oz_lotto,1290,"Tuesday 06 Nov 2018","22 15 14 23 27 3 34 ","33 8 "
oz_lotto,1289,"Tuesday 30 Oct 2018","8 3 31 17 14 7 28 ","30 39 "
oz_lotto,1288,"Tuesday 23 Oct 2018","12 27 28 44 7 33 32 ","19 17 "
oz_lotto,1287,"Tuesday 16 Oct 2018","43 21 14 3 15 41 2 ","29 25 "
oz_lotto,1286,"Tuesday 09 Oct 2018","4 45 32 41 26 30 25 ","9 44 "
oz_lotto,1285,"Tuesday 02 Oct 2018","7 38 41 16 15 24 43 ","34 27 "
oz_lotto,1284,"Tuesday 25 Sep 2018","29 17 33 39 21 20 24 ","31 8 "
oz_lotto,1283,"Tuesday 18 Sep 2018","39 26 42 32 33 20 23 ","22 24 "
oz_lotto,1282,"Tuesday 11 Sep 2018","6 4 36 23 2 30 32 ","11 27 "
oz_lotto,1281,"Tuesday 04 Sep 2018","25 41 30 33 11 15 36 ","34 14 "
oz_lotto,1280,"Tuesday 28 Aug 2018","21 13 1 2 23 19 34 ","11 33 "
oz_lotto,1279,"Tuesday 21 Aug 2018","9 32 4 14 38 12 3 ","35 24 "
oz_lotto,1278,"Tuesday 14 Aug 2018","5 11 28 24 38 37 25 ","1 27 "
oz_lotto,1277,"Tuesday 07 Aug 2018","31 26 15 21 14 24 40 ","33 3 "
